NOME,CATEGORIA,GRUPO,ESFERA,CRIAÇÃO,ATO LEGAL,ULTIMA ATUALIZAÇÃO,CODUC,ÓRGÃO GESTOR
AREA DE PROTECAO AMBIENTAL DA BACIA DO CORREGO CAPAO GRANDE,Área de Proteção Ambiental,US,municipal,"2018",Decreto nº 051/2018 de 20/09/2018,20/09/2018,1480.52.3787,Secretaria Municipal de Meio Ambiente de Nova Aurora - GO
ÀREA DE PROTEÇÃO AMBIENTAL DE TINGUÁ,Área de Proteção Ambiental,US,municipal,"2004",Lei complementar nº 3587 de 09/07/2004,28/09/2018,0350.33.1879,"Secretaria Municipal de Meio Ambiente, Agricultura, Desenvolvimento Econômico e Turismo de Nova Iguaçu - RJ"
ÁREA DE PROTEÇÃO AMBIENTAL DE SÃO BENTO,Área de Proteção Ambiental,US,municipal,"1997",Decreto nº 3020 de 06/06/1997,01/02/2016,0170.33.3232,"Secretaria Municipal de Meio Ambiente, Agricultura e Abastecimento de Duque de Caxias - RJ"
APA REPRESA BAIRRO DA USINA,Área de Proteção Ambiental,US,estadual,"1986",Lei ordinária nº 5280 de 04/09/1986,18/09/2015,0000.35.1711,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
APA ILHA COMPRIDA,Área de Proteção Ambiental,US,estadual,"1987",Decreto nº 26881 de 11/03/1987,15/09/2015,0000.35.1702,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL MARGEM DIREITA DO RIO NEGRO- SETOR PADUARI-SOLIMÕES,Área de Proteção Ambiental,US,estadual,"1995",Decreto nº 16.498 de 06/04/1995,17/08/2012,0000.13.0994,Secretaria de Estado do Meio Ambiente do Amazonas
ÁREA DE PROTEçãO AMBIENTAL DO ITAPIRACó,Área de Proteção Ambiental,US,estadual,"1997",Decreto nº 15.618 de 26/06/1997,04/03/2011,0000.21.1890,Secretaria de Estado de Meio Ambiente e Recursos Naturais do Maranhão
ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU,Área de Proteção Ambiental,US,federal,"1983",Decreto nº 88421 de 21/06/1983,27/09/2007,0000.00.0018,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL,Área de Proteção Ambiental,US,estadual,"2002",Decreto nº 1.444 de 20/03/2002,24/07/2007,0000.17.1494,Instituto Natureza do Tocantins
ÁREA DE PROTEÇÃO AMBIENTAL DO IGUAÇÚ,Área de Proteção Ambiental,US,municipal,"1991",Decreto nº 410 de 25/07/1991,01/10/2012,0690.41.2746,Secretaria Municipal de Meio Ambiente de Curitiba - PR
APA CORUMBATAÍ BOTUCATU TEJUPA PERIMETRO BOTUCATU,Área de Proteção Ambiental,US,estadual,"1983",Decreto nº 20960 de 08/06/1983,15/09/2015,0000.35.1972,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU,Área de Proteção Ambiental,US,federal,"1983",Decreto nº 88940 de 07/11/1983,27/04/2011,0000.00.0004,Instituto Chico Mendes de Conservação da Biodiversidade
