NOME,CATEGORIA,GRUPO,ESFERA,CRIAÇÃO,ATO LEGAL,ULTIMA ATUALIZAÇÃO,CODUC,ÓRGÃO GESTOR
RESERVA PARTICULAR DO PATRIMôNIO NATURAL SANTA CECíLIA,Reserva Particular do Patrimônio Natural,US,estadual,"2011",Resolução nº 23 de 14/10/2011,23/09/2016,0000.50.2590,Instituto de Meio Ambiente do Mato Grosso do Sul
RESERVA BIOLOGICA DE PEDRA TALHADA,Reserva Biológica,PI,federal,"1989",Decreto nº 98524 de 13/12/1989,30/11/2007,0000.00.0197,Instituto Chico Mendes de Conservação da Biodiversidade
REFúGIO DA VIDA SILVESTRE DA ARARINHA AZUL,Refúgio de Vida Silvestre,PI,federal,"2018",Decreto nº 9402 de 06/06/2018,19/06/2018,0000.00.3694,Instituto Chico Mendes de Conservação da Biodiversidade
ESTAÇÃO ECOLÓGICA DE FECHOS,Estação Ecológica,PI,estadual,"1994",Decreto nº 36073 de 28/09/1994,03/09/2009,0000.31.0384,Instituto Estadual de Florestas de Minas Gerais
PARQUE NATURAL MUNICIPAL ITAIM,Parque,PI,municipal,"2012",Decreto nº 53227 de 20/06/2012,13/03/2015,5030.35.3140,Secretaria Municipal do Verde e do Meio Ambiente de São Paulo - SP
PARQUE NATURAL MUNICIPAL PEDRO GERALDO DE MENEZES,Parque,PI,municipal,"2012",Lei ordinária nº 2.802 de 04/12/2012,28/05/2018,7040.31.3622,Secretaria Municipal do Meio Ambiente e Desenvolvimento Sustentável de Unaí - MG
PARQUE NATURAL MUNICIPAL DA CIDADE,Parque,PI,municipal,"2008",Decreto nº 29538 de 04/07/2008,20/08/2018,0455.33.1802,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
MUNUMENTO NATURAL DOS CANIONS DO SUBAÉ,Monumento Natural,PI,estadual,"2006",Decreto nº 10.018 de 06/06/2006,23/07/2012,0000.29.1014,Secretaria do Meio Ambiente da Bahia
ÁREA DE PROTEÇÃO AMBIENTAL FERNÃO DIAS,Área de Proteção Ambiental,US,estadual,"1997",Decreto nº 38925 de 18/07/1997,06/11/2012,0000.31.0402,Instituto Estadual de Florestas de Minas Gerais
PARQUE ESTADUAL DE ITABERABA,Parque,PI,estadual,"2010",Decreto nº 55.662 de 31/03/2010,29/09/2017,0000.35.1966,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA,Parque,PI,municipal,"2003",Decreto nº 14.937/2003 de 06/06/2003,27/06/2013,4780.35.2857,Secretaria de Gestão de Recursos Naturais de Paranapiacaba e Parque Andreense - SP
RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO,Reserva Biológica,PI,federal,"2005",Decreto nº S/N de 20/05/2005,05/02/2016,0000.00.0216,Instituto Chico Mendes de Conservação da Biodiversidade
REFúGIO DE VIDA SILVESTRE MATA DO ENGENHO SãO JOãO,Refúgio de Vida Silvestre,PI,estadual,"1987",Lei ordinária nº 9.989 de 13/01/1987,08/03/2016,0000.26.2243,Agência Estadual do Meio Ambiente de Pernambuco
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SOLUAR,Reserva Particular do Patrimônio Natural,US,federal,"2005",Portaria nº 17 de 12/04/2005,26/08/2011,0000.00.1355,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMôNIO NATURAL BICHO PREGUIçA,Reserva Particular do Patrimônio Natural,US,estadual,"2013",Portaria nº 428 de 25/03/2013,04/08/2014,0000.33.3058,Instituto Estadual do Ambiente do Rio de Janeiro
PARQUE NACIONAL DA CHAPADA DIAMANTINA,Parque,PI,federal,"1985",Decreto nº 91.655 de 17/09/1985,16/07/2012,0000.00.0137,Instituto Chico Mendes de Conservação da Biodiversidade
ESTAÇÃO ECOLÓGICA DO GUARAGUAÇU,Estação Ecológica,PI,estadual,"1992",Decreto nº 1.230 de 30/03/1992,14/03/2016,0000.41.0497,Instituto Ambiental do Paraná
REFúGIO DE VIDA SILVESTRE MATA DO CURADO,Refúgio de Vida Silvestre,PI,estadual,"1987",Lei ordinária nº 9989/87 de 13/01/1987,22/09/2017,0000.26.3303,Agência Estadual do Meio Ambiente de Pernambuco
