NOME,CATEGORIA,GRUPO,ESFERA,CRIAÇÃO,ATO LEGAL,ULTIMA ATUALIZAÇÃO,CODUC,ÓRGÃO GESTOR
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BUGIO E COMPANHIA,Reserva Particular do Patrimônio Natural,US,estadual,"2010",Outros nº 74-S de 22/02/2010,31/08/2012,0000.32.2350,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
AREA DE PROTECAO AMBIENTAL DA BACIA DO CORREGO CAPAO GRANDE,Área de Proteção Ambiental,US,municipal,"2018",Decreto nº 051/2018 de 20/09/2018,20/09/2018,1480.52.3787,Secretaria Municipal de Meio Ambiente de Nova Aurora - GO
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PILAR,Reserva Particular do Patrimônio Natural,US,estadual,"2013",Portaria nº 466 de 27/06/2013,10/07/2017,0000.33.3445,Instituto Estadual do Ambiente do Rio de Janeiro
PARQUE NACIONAL DA SERRA DA CAPIVARA,Parque,PI,federal,"1979",Decreto nº 83548 de 05/06/1979,27/09/2007,0000.00.0145,Instituto Chico Mendes de Conservação da Biodiversidade
FLORESTA ESTADUAL DO ARAGUAIA,Floresta,US,estadual,"2002",Decreto nº 5.630 de 07/08/2002,06/08/2009,0000.52.1754,Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DA CABECEIRA DO CAFÔFO,Reserva Particular do Patrimônio Natural,US,federal,"2007",Portaria nº 25 de 11/12/2007,26/08/2011,0000.00.2092,Instituto Chico Mendes de Conservação da Biodiversidade
ESTAÇÃO ECOLÓGICA ITABERÁ,Estação Ecológica,PI,estadual,"1957",Decreto nº 29881 de 12/10/1957,29/09/2017,0000.35.0821,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÀREA DE PROTEÇÃO AMBIENTAL DE TINGUÁ,Área de Proteção Ambiental,US,municipal,"2004",Lei complementar nº 3587 de 09/07/2004,28/09/2018,0350.33.1879,"Secretaria Municipal de Meio Ambiente, Agricultura, Desenvolvimento Econômico e Turismo de Nova Iguaçu - RJ"
PARQUE NACIONAL DA FURNA FEIA,Parque,PI,federal,"2012",Decreto nº S/N de 06/06/2012,22/06/2012,0000.00.2633,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE ESTADUAL DE ITAPETINGA,Parque,PI,estadual,"2010",Decreto nº 55.662 de 31/12/2010,29/09/2017,0000.35.1965,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO,Estação Ecológica,PI,federal,"2002",Decreto nº S/N de 17/07/2002,27/04/2011,0000.00.0073,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIOMôNIO NATURAL ALMIRANTE RENATO DE MIRANDA MONTEIRO,Reserva Particular do Patrimônio Natural,US,federal,"2011",Portaria nº 111 de 27/12/2011,01/08/2014,0000.00.2664,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE ESTADUAL SERRA DO SOBRADO,Parque,PI,estadual,"2010",Decreto nº 45.509 de 25/11/2010,23/09/2013,0000.31.2613,Instituto Estadual de Florestas de Minas Gerais
RESERVA EXTRATIVISTA TAQUARI,Reserva Extrativista,US,estadual,"2008",Lei ordinária nº 12810 de 21/02/2008,30/09/2015,0000.35.1686,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL DE SÃO BENTO,Área de Proteção Ambiental,US,municipal,"1997",Decreto nº 3020 de 06/06/1997,01/02/2016,0170.33.3232,"Secretaria Municipal de Meio Ambiente, Agricultura e Abastecimento de Duque de Caxias - RJ"
PARQUE ESTADUAL TUCUMÃ,Parque,PI,estadual,"2002",Decreto nº 5.439 de 12/11/2002,12/05/2010,0000.51.0456,Secretaria de Estado do Meio Ambiente de Mato Grosso
PARQUE ESTADUAL DA ILHA GRANDE,Parque,PI,estadual,"1971",Decreto nº 15.273 de 27/06/1971,24/02/2014,0000.33.1477,Instituto Estadual do Ambiente do Rio de Janeiro
REFúGIO DE VIDA SILVESTRE PADRE SéRGIO TONETTO,Refúgio de Vida Silvestre,PI,estadual,"2016",Decreto nº 1.567 de 20/06/2016,22/02/2017,0000.15.3479,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará
PARQUE ESTADUAL DO JACARAPé,Parque,PI,estadual,"2002",Decreto nº 23.836 de 27/12/2002,10/08/2012,0000.25.2334,Superintendência de Administração do Meio Ambiente da Paraíba
RESERVA PARTICULAR DO PATRIMôNIO NATURAL PARAíSO I,Reserva Particular do Patrimônio Natural,US,estadual,"2012",Portaria nº 3988 de 21/11/2012,26/11/2012,0000.29.2796,Secretaria do Meio Ambiente da Bahia
MONUMENTO NATURAL MUNICIPAL DA FLORESTA,Monumento Natural,PI,municipal,"2017",Decreto nº 5671 de 04/04/2017,27/07/2017,0220.33.3521,Secretaria Municipal do Ambiente de Itaperuna - RJ
MONUMENTO NATURAL DAS FALÉSIAS DE BEBERIBE,Monumento Natural,PI,estadual,"2004",Decreto nº 27.461 de 04/06/2004,15/02/2016,0000.23.0961,Secretaria do Meio Ambiente do Ceará
PARQUE NATURAL MUNICIPAL DO MANGUEZAL DE ITANGUá,Parque,PI,municipal,"2007",Decreto nº 48 de 28/05/2007,26/04/2012,0130.32.2598,Secretaria Municipal de Meio Ambiente de Cariacica - ES
PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE,Parque,PI,federal,"2002",Decreto nº S/N de 22/08/2002,24/02/2016,0000.00.0187,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA BIOLÓGICA DO CÓRREGO DO VEADO,Reserva Biológica,PI,federal,"1982",Decreto nº 87590 de 20/09/1982,28/09/2007,0000.00.0204,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VEREDAS DO PRATUDINHO,Reserva Particular do Patrimônio Natural,US,federal,"2011",Portaria nº 08 de 03/02/2011,26/08/2011,0000.00.2234,Instituto Chico Mendes de Conservação da Biodiversidade
APA REPRESA BAIRRO DA USINA,Área de Proteção Ambiental,US,estadual,"1986",Lei ordinária nº 5280 de 04/09/1986,18/09/2015,0000.35.1711,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SETE FLECHAS,Reserva Particular do Patrimônio Natural,US,estadual,"2010",Portaria nº 153 de 03/09/2010,07/12/2011,0000.33.2289,Instituto Estadual do Ambiente do Rio de Janeiro
FLORESTA ESTADUAL RIO URUBU,Floresta,US,estadual,"2003",Decreto nº 23993 de 22/12/2003,05/02/2016,0000.13.1002,Secretaria de Estado do Meio Ambiente do Amazonas
FLORESTA NACIONAL DE MÁRIO XAVIER,Floresta,US,federal,"1986",Decreto nº 93369 de 08/10/1986,25/09/2007,0000.00.0127,Instituto Chico Mendes de Conservação da Biodiversidade
APA ILHA COMPRIDA,Área de Proteção Ambiental,US,estadual,"1987",Decreto nº 26881 de 11/03/1987,15/09/2015,0000.35.1702,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL MARGEM DIREITA DO RIO NEGRO- SETOR PADUARI-SOLIMÕES,Área de Proteção Ambiental,US,estadual,"1995",Decreto nº 16.498 de 06/04/1995,17/08/2012,0000.13.0994,Secretaria de Estado do Meio Ambiente do Amazonas
MONUMENTO NATURAL ESTADUAL  SERRA DAS TORRES,Monumento Natural,PI,estadual,"2010",Lei ordinária nº 9463 de 14/06/2010,18/01/2017,0000.32.2319,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
ÁREA DE PROTEçãO AMBIENTAL DO ITAPIRACó,Área de Proteção Ambiental,US,estadual,"1997",Decreto nº 15.618 de 26/06/1997,04/03/2011,0000.21.1890,Secretaria de Estado de Meio Ambiente e Recursos Naturais do Maranhão
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DOIS IRMÃOS,Reserva Particular do Patrimônio Natural,US,estadual,"2016",Portaria nº 007-R de 22/07/2016,11/11/2016,0000.32.3453,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
REFúGIO DE VIDA SILVESTRE MATA SãO JOãO DA VáRZEA,Refúgio de Vida Silvestre,PI,estadual,"1987",Lei ordinária nº 9989/87 de 13/01/1987,11/03/2016,0000.26.3304,Agência Estadual do Meio Ambiente de Pernambuco
MONUMENTO NATURAL ESTADUAL PICO DO IBITURUNA,Monumento Natural,PI,estadual,"1998",Outros nº Constituição Estadual de Minas Gerais de 22/09/1998,25/06/2014,0000.31.3039,Instituto Estadual de Florestas de Minas Gerais
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA,Área de Relevante Interesse Ecológico,US,federal,"1985",Decreto nº 91887 de 05/11/1985,27/09/2007,0000.00.0037,Instituto Chico Mendes de Conservação da Biodiversidade
ESTAçãO ECOLóGICA ESTADUAL ARATINGA,Estação Ecológica,PI,estadual,"1997",Decreto nº 37.345 de 14/04/1997,20/04/2011,0000.43.1995,Secretaria do Ambiente e Desenvolvimento Sustentável do Rio Grande do Sul - RS
RESERVA EXTRATIVISTA RIO PRETO-JACUNDÁ,Reserva Extrativista,US,estadual,"1996",Decreto nº 7336 de 19/01/1996,11/02/2016,0000.11.0777,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia
PARQUE ESTADUAL SERRA DA BOA ESPERANÇA,Parque,PI,estadual,"2007",Decreto nº 44520 de 17/05/2007,09/09/2014,0000.31.1780,Instituto Estadual de Florestas de Minas Gerais
ESTAçãO ECOLóGICA DE AVARé,Estação Ecológica,PI,estadual,"2010",Decreto nº 56.616 de 29/12/2010,11/10/2017,0000.35.2606,Instituto Florestal da Secretaria do Meio Ambiente do Estado de São Paulo - SP
PARQUE ESTADUAL DO MENDANHA,Parque,PI,estadual,"2013",Decreto nº 44.342 de 23/08/2013,24/02/2014,0000.33.2904,Instituto Estadual do Ambiente do Rio de Janeiro
ESTAÇÃO ECOLÓGICA DE PAULO DE FARIA,Estação Ecológica,PI,estadual,"1981",Decreto nº 17724 de 24/09/1981,29/09/2017,0000.35.0807,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
RPPN DAS NASCENTES,Reserva Particular do Patrimônio Natural,US,federal,"2017",Portaria nº 545 de 28/08/2017,09/05/2018,0000.00.3668,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU,Área de Proteção Ambiental,US,federal,"1983",Decreto nº 88421 de 21/06/1983,27/09/2007,0000.00.0018,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL O BOSQUE,Reserva Particular do Patrimônio Natural,US,federal,"2013",Portaria nº 167 de 11/03/2013,09/05/2018,0000.00.3078,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE ESTADUAL DO LIMOEIRO,Parque,PI,estadual,"2011",Decreto nº 45566 de 22/03/2011,05/10/2011,0000.31.2328,Instituto Estadual de Florestas de Minas Gerais
PARQUE ESTADUAL DA SERRA FURADA,Parque,PI,estadual,"1980",Decreto nº 11233 de 23/06/1980,28/03/2014,0000.42.0780,Fundação de Meio Ambiente de Santa Catarina
RESERVA PARTICULAR DO PATRIMôNIO NATURAL FAZENDA MINAS GERAIS,Reserva Particular do Patrimônio Natural,US,estadual,"2013",Portaria nº 491 de 23/09/2013,19/11/2014,0000.33.3149,Instituto Estadual do Ambiente do Rio de Janeiro
ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL,Área de Proteção Ambiental,US,estadual,"2002",Decreto nº 1.444 de 20/03/2002,24/07/2007,0000.17.1494,Instituto Natureza do Tocantins
RESERVA EXTRATIVISTA DO MéDIO PURúS,Reserva Extrativista,US,federal,"2008",Decreto nº s/n de 09/05/2008,05/02/2016,0000.00.1606,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE ESTADUAL DO SUMIDOURO,Parque,PI,estadual,"1980",Decreto nº 20598 de 05/06/1980,21/08/2009,0000.31.0368,Instituto Estadual de Florestas de Minas Gerais
ÁREA DE PROTEÇÃO AMBIENTAL DO IGUAÇÚ,Área de Proteção Ambiental,US,municipal,"1991",Decreto nº 410 de 25/07/1991,01/10/2012,0690.41.2746,Secretaria Municipal de Meio Ambiente de Curitiba - PR
RESERVA DE DESENVOLVIMENTO SUSTENTAVEL DO RIO MADEIRA,Reserva de Desenvolvimento Sustentável,US,estadual,"2006",Decreto nº 26.009 de 03/07/2006,05/02/2016,0000.13.1977,Secretaria de Estado do Meio Ambiente do Amazonas
REFúGIO DA VIDA SILVESTRE MATA DO TORÓ,Refúgio de Vida Silvestre,PI,estadual,"1987",Lei ordinária nº 9989/87 de 13/01/1987,13/04/2016,0000.26.3395,Agência Estadual do Meio Ambiente de Pernambuco
ESTAÇÃO ECOLÓGICA DE CORUMBÁ,Estação Ecológica,PI,estadual,"1964",Decreto nº 16580 de 24/09/1964,23/09/2014,0000.31.0366,Instituto Estadual de Florestas de Minas Gerais
PARQUE NATURAL MUNICIPAL PARQUE FLORESTAL DE SINOP,Parque,PI,municipal,"2014",Lei ordinária nº 2067/2014 de 10/12/2014,16/09/2015,0790.51.3196,Prefeitura de Sinop - MT
REFÚGIO DE VIDA SILVESTRE ESTADUAL DO MÉDIO PARAÍBA,Refúgio de Vida Silvestre,PI,estadual,"2016",Decreto nº 45.659 de 19/05/2016,22/08/2018,0000.33.3549,Instituto Estadual do Ambiente do Rio de Janeiro
RESERVA PARTICULAR DO PATRIMôNIO NATURAL CANTO DOS PáSSAROS II,Reserva Particular do Patrimônio Natural,US,estadual,"2013",Portaria nº 406 de 30/01/2013,14/07/2014,0000.33.3057,Instituto Estadual do Ambiente do Rio de Janeiro
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RONCO DO BUGIO,Reserva Particular do Patrimônio Natural,US,federal,"2009",Portaria nº 6 de 13/02/2009,26/08/2011,0000.00.2204,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA EXTRATIVISTA MARINHA CAETÉTAPERAÇU,Reserva Extrativista,US,federal,"2005",Decreto nº S/N de 23/05/2005,26/09/2007,0000.00.0248,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAMPOS NOVOS,Reserva Particular do Patrimônio Natural,US,federal,"2014",Portaria nº 3 de 24/01/2014,01/08/2014,0000.00.3091,Instituto Chico Mendes de Conservação da Biodiversidade
APA CORUMBATAÍ BOTUCATU TEJUPA PERIMETRO BOTUCATU,Área de Proteção Ambiental,US,estadual,"1983",Decreto nº 20960 de 08/06/1983,15/09/2015,0000.35.1972,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU,Área de Proteção Ambiental,US,federal,"1983",Decreto nº 88940 de 07/11/1983,27/04/2011,0000.00.0004,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMôNIO NATURAL CARA DA ONçA,Reserva Particular do Patrimônio Natural,US,estadual,"2009",Resolução nº 10 de 29/07/2009,23/09/2016,0000.50.1982,Instituto de Meio Ambiente do Mato Grosso do Sul
ÁREA DE PROTEÇÃO AMBIENTAL DO PECEM,Área de Proteção Ambiental,US,estadual,"1998",Decreto nº 24.957 de 08/06/1998,16/11/2010,0000.23.0950,Secretaria do Meio Ambiente do Ceará
RESERVA BIOLÓGICA UNIÃO,Reserva Biológica,PI,federal,"1998",Decreto nº s/n de 22/04/1998,14/02/2012,0000.00.0217,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE NACIONAL DA SERRA DE ITABAIANA,Parque,PI,federal,"2005",Decreto nº S/N de 15/06/2005,29/11/2007,0000.00.0147,Instituto Chico Mendes de Conservação da Biodiversidade
ESTAÇÃO ECOLÓGICA JATAÍ,Estação Ecológica,PI,estadual,"1982",Decreto nº 18.997 de 16/06/1982,15/02/2018,0000.35.0808,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
PARQUE ESTADUAL MATAS DO SEGREDO,Parque,PI,estadual,"2000",Decreto nº 9935 de 06/06/2000,17/07/2012,0000.50.0422,Instituto de Meio Ambiente do Mato Grosso do Sul
ÁREA DE PROTEÇÃO AMBIENTAL DE TAMBABA,Área de Proteção Ambiental,US,estadual,"2002",Decreto nº 22882 de 26/03/2002,31/03/2014,0000.25.0490,Superintendência de Administração do Meio Ambiente da Paraíba
FLORESTA NACIONAL DE CAXIUANÃ,Floresta,US,federal,"1961",Decreto nº 239 de 28/11/1961,25/09/2007,0000.00.0089,Instituto Chico Mendes de Conservação da Biodiversidade
MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO,Monumento Natural,PI,estadual,"1998",Decreto nº 7.412 de 18/08/1998,23/07/2012,0000.29.0295,Secretaria do Meio Ambiente da Bahia
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA,Reserva Particular do Patrimônio Natural,US,estadual,"2009",Portaria nº 023/2008 de 22/06/2009,12/04/2013,0000.27.2684,Instituto do Meio Ambiente de Alagoas
RESERVA EXTRATIVISTA CHICO MENDES,Reserva Extrativista,US,federal,"1990",Decreto nº nº 99144 de 13/03/1990,15/02/2016,0000.00.0222,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA EXTRATIVISTA IPÊ,Reserva Extrativista,US,estadual,"1995",Decreto nº 7101 de 08/09/1995,01/03/2012,0000.11.0749,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia
FLORESTA NACIONAL DE MULATA,Floresta,US,federal,"2001",Decreto nº S/N de 01/08/2001,14/02/2012,0000.00.0099,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMôNIO NATURAL PONTE DO BAIÃO,Reserva Particular do Patrimônio Natural,US,estadual,"2011",Portaria nº 256 de 26/07/2011,29/06/2012,0000.33.2641,Instituto Estadual do Ambiente do Rio de Janeiro
FLORESTA NACIONAL DE PALMARES,Floresta,US,federal,"2005",Decreto nº s/n de 22/02/2005,24/09/2007,0000.00.0102,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE NACIONAL GRANDE SERTÃO VEREDAS,Parque,PI,federal,"1989",Decreto nº 97658 de 13/04/1989,04/12/2007,0000.00.0183,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA EXTRATIVISTA MARACATIARA,Reserva Extrativista,US,estadual,"1995",Decreto nº 7096 de 08/09/1995,01/03/2012,0000.11.0744,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia
RESERVA PARTICULAR DO PATRIMONIO NATURAL ESTADUAL DAS CASCATAS,Reserva Particular do Patrimônio Natural,US,estadual,"2015",Portaria nº 137/2014 de 26/08/2015,03/09/2015,0000.42.3211,Fundação de Meio Ambiente de Santa Catarina
APA MATA DO IGUATEMÍ,Área de Proteção Ambiental,US,estadual,"1993",Lei ordinária nº 8284 de 02/04/1993,09/11/2017,0000.35.1705,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
APA PARQUE E FAZENDA DO CARMO,Área de Proteção Ambiental,US,estadual,"1989",Lei ordinária nº 6409 de 05/04/1989,15/02/2018,0000.35.1707,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
RESERVA BIOLÓGICA DAS CAPIVARAS,Reserva Biológica,PI,municipal,"2001",Lei ordinária nº Lei 1.727 de 03/10/2001,07/10/2015,0830.50.2845,Secretaria Municipal de Meio Ambiente - Três Lagoas/MS
ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE,Área de Proteção Ambiental,US,estadual,"2010",Decreto nº 34.692 de 17/03/2010,19/01/2016,0000.26.1928,Agência Estadual do Meio Ambiente de Pernambuco
FLORESTA ESTADUAL SERRA D'ÁGUA,Floresta,US,estadual,"2010",Decreto nº 56.617 de 29/12/2010,11/10/2017,0000.35.2698,Instituto Florestal da Secretaria do Meio Ambiente do Estado de São Paulo - SP
PARQUE ESTADUAL DA CAMPINA DO ENCANTADO,Parque,PI,estadual,"1994",Decreto nº 8873 de 17/08/1994,29/09/2017,0000.35.0854,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DA LUZ,Reserva Particular do Patrimônio Natural,US,estadual,"2009",Portaria nº 69 de 27/10/2009,11/10/2011,0000.33.2300,Instituto Estadual do Ambiente do Rio de Janeiro
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO JUMA,Reserva de Desenvolvimento Sustentável,US,estadual,"2006",Decreto nº 26010 de 03/07/2006,15/02/2016,0000.13.1573,Secretaria de Estado do Meio Ambiente do Amazonas
FLORESTA NACIONAL DE RIO PRETO,Floresta,US,federal,"1990",Decreto nº 98845 de 17/01/1990,01/08/2014,0000.00.0122,Instituto Chico Mendes de Conservação da Biodiversidade
APA RIO BATALHA,Área de Proteção Ambiental,US,estadual,"2001",Lei ordinária nº 10773 de 01/03/2001,18/09/2015,0000.35.1712,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
RESERVA EXTRATIVISTA DO CIRIÁCO,Reserva Extrativista,US,federal,"1992",Decreto nº 534 de 21/05/1992,29/04/2011,0000.00.1519,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL DE ENGENHEIRO PASSOS APAEP,Área de Proteção Ambiental,US,municipal,"1997",Lei ordinária nº 2063 de 22/12/1997,18/11/2015,0420.33.3165,Agência do Meio Ambiente do Município de Resende - RJ
RESERVA PARTICULAR DO PATRIMôNIO NATURAL RESERVA VITóRIA PRIMAVERA,Reserva Particular do Patrimônio Natural,US,estadual,"2016",Portaria nº 11745 de 12/05/2016,13/05/2016,0000.29.3402,Secretaria do Meio Ambiente da Bahia
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GIBEÃO,Reserva Particular do Patrimônio Natural,US,federal,"2012",Portaria nº 68 de 15/06/2012,01/08/2014,0000.00.2708,Instituto Chico Mendes de Conservação da Biodiversidade
REFúGIO DA VIDA SILVESTRE MATA DO ENGENHO UCHôA,Refúgio de Vida Silvestre,PI,estadual,"1987",Lei ordinária nº 9989/87 de 13/01/1987,01/09/2017,0000.26.3330,Agência Estadual do Meio Ambiente de Pernambuco
RESERVA BIOLÓGICA DO GUARÁ,Reserva Biológica,PI,estadual,"1988",Decreto nº 11.262 de 21/09/1988,18/08/2017,0000.53.1655,Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental - DF
RESERVA EXTRATIVISTA MOGNO,Reserva Extrativista,US,estadual,"1995",Decreto nº 7099 de 08/09/1995,01/03/2012,0000.11.0747,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia
REFÚGIO DE VIDA SILVESTRE PALMARES - RVS PALMARES,Refúgio de Vida Silvestre,PI,municipal,"2018",Decreto nº 5376 de 13/08/2018,20/08/2018,0385.33.3728,Prefeitura Municipal de Paty do Alferes - RJ
FLORESTA NACIONAL DE PACOTUBA,Floresta,US,federal,"2002",Decreto nº S/N de 13/12/2002,25/09/2007,0000.00.0101,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA CAIMAN,Reserva Particular do Patrimônio Natural,US,federal,"2004",Portaria nº 35 de 10/03/2004,26/08/2011,0000.00.2102,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA DA JIJOCA,Área de Proteção Ambiental,US,estadual,"2000",Decreto nº 25.975 de 10/08/2000,15/02/2016,0000.23.0962,Secretaria do Meio Ambiente do Ceará
RESERVA PARTICULAR DO PATRIMôNIO NATURAL ESTÂNCIA RIO DO OURO,Reserva Particular do Patrimônio Natural,US,estadual,"2012",Portaria nº 368 de 23/08/2012,25/11/2013,0000.33.2900,Instituto Estadual do Ambiente do Rio de Janeiro
RESERVA BIOLóGICA DO SãO DONATO,Reserva Biológica,PI,estadual,"1975",Decreto nº 23.798 de 14/03/1975,27/04/2011,0000.43.2009,Secretaria do Ambiente e Desenvolvimento Sustentável do Rio Grande do Sul - RS
ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU,Área de Proteção Ambiental,US,estadual,"2002",Decreto nº 8175 de 28/02/2002,13/11/2014,0000.29.0328,Secretaria do Meio Ambiente da Bahia
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO JARDIM,Reserva Particular do Patrimônio Natural,US,federal,"2007",Portaria nº 20 de 14/03/2007,26/08/2011,0000.00.2202,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL DO SALTO MAGESSI,Área de Proteção Ambiental,US,estadual,"2002",Lei complementar nº 7.871 de 20/12/2002,06/05/2010,0000.51.0478,Secretaria de Estado do Meio Ambiente de Mato Grosso
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DOM PEDRO,Reserva Particular do Patrimônio Natural,US,estadual,"2013",Portaria nº 10-R de 14/03/2013,12/02/2016,0000.32.3261,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
MONUMENTO NATURAL DOS MORROS DO PãO DE AçúCAR E URCA,Monumento Natural,PI,municipal,"2006",Decreto nº 26578 de 02/06/2006,21/08/2018,0455.33.1811,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MEU CANTINHO,Reserva Particular do Patrimônio Natural,US,estadual,"2013",Portaria nº 13-R de 16/04/2013,04/11/2013,0000.32.2934,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRÊS MORENAS,Reserva Particular do Patrimônio Natural,US,estadual,"2016",Portaria nº 11263 de 03/02/2016,15/06/2016,0000.29.3292,Secretaria do Meio Ambiente da Bahia
PARQUE ESTADUAL DO TURVO,Parque,PI,estadual,"1947",Decreto nº 2.312 de 11/03/1947,27/04/2011,0000.43.1018,Secretaria do Ambiente e Desenvolvimento Sustentável do Rio Grande do Sul - RS
ÁREA DE PROTEçãO AMBIENTAL DO SACOPã,Área de Proteção Ambiental,US,municipal,"1986",Decreto nº 6231 de 30/10/1986,15/03/2011,0455.33.1820,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ESTAÇÃO ECOLÓGICA DE MURICI,Estação Ecológica,PI,federal,"2001",Decreto nº S/N de 29/05/2001,27/09/2007,0000.00.0059,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMôNIO NATURAL CRISTALINO III,Reserva Particular do Patrimônio Natural,US,estadual,"2007",Portaria nº 141 de 05/11/2007,29/04/2011,0000.51.1924,Secretaria de Estado do Meio Ambiente de Mato Grosso
ÁREA DE PROTEÇÃO AMBIENTAL DO PAU BRASIL,Área de Proteção Ambiental,US,estadual,"2002",Decreto nº 31.346 de 06/06/2002,01/08/2012,0000.33.0724,Instituto Estadual do Ambiente do Rio de Janeiro
ÁREA DE PROTEÇÃO AMBIENTAL NHAMUNDÁ,Área de Proteção Ambiental,US,estadual,"1990",Decreto nº 12836 de 09/03/1990,15/02/2016,0000.13.0997,Secretaria de Estado do Meio Ambiente do Amazonas
FLORESTA NACIONAL DO IBURA,Floresta,US,federal,"2005",Decreto nº S/N de 19/09/2005,25/09/2007,0000.00.0269,Instituto Chico Mendes de Conservação da Biodiversidade
