NOMEUC,CODUC,PROCESSO,EMPREENDIMENTO,EMPREENDEDOR,DESTINACAO,APLICACAO,ACAODEST,ACAOAPL,REUNIAO,TIPO,ANO
PARQUE NATURAL MUNICIPAL CHICO MENDES,0455.33.1790,02001.003136/2015-81,ATIVI PROD ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B. SANTOS-ETAPA 2 INSTALAÇÃO FPSO BW SÃO VICENTE TDL IARA,PETROBRAS,"40000","0",Indefinido,,"47",O,"2016"
MONUMENTO NATURAL DOS MORROS DO PãO DE AçúCAR E URCA,0455.33.1811,02001.000317/2016-37,COMPENSAÇÃO AMBIENTAL PERFURAÇÃO BLOCOS BM-C-39-40-41-42-43 B,OGX,"100000","0",Indefinido,,"47",O,"2016"
MONUMENTO NATURAL DOS MORROS DO PãO DE AçúCAR E URCA,0455.33.1811,02001.003136/2015-81,ATIVI PROD ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B. SANTOS-ETAPA 2 INSTALAÇÃO FPSO BW SÃO VICENTE TDL IARA,PETROBRAS,"40000","0",Indefinido,,"47",O,"2016"
RESERVA BIOLOGICA ESTADUAL DO SASSAFRAS,0000.42.1830,02001.003793/2014-48,BR 470 / BR-477 - Navegantes - Divisa SC/RS,DNIT,"210835","0",,Regularização,"47",O,"2016"
RESERVA BIOLóGICA DO MATO GRANDE,0000.43.1993,02001.002630/2014-48,UTE PAMPA,PETROBRAS,"602916","0",Indefinido,,"47",O,"2016"
PARQUE ESTADUAL DO PODOCARPUS,0000.43.2003,02001.002630/2014-48,UTE PAMPA,PETROBRAS,"602916","0",Indefinido,,"47",O,"2016"
PARQUE NATURAL MUNICIPAL DOS CORAIS DE ARMAÇÃO DOS BÚZIOS,0023.33.2050,02001.000317/2016-37,COMPENSAÇÃO AMBIENTAL PERFURAÇÃO BLOCOS BM-C-39-40-41-42-43 B,OGX,"100000","0",Indefinido,,"47",O,"2016"
PARQUE ESTADUAL DA LAGOA DO AÇU,0000.33.2721,02001.000317/2016-37,COMPENSAÇÃO AMBIENTAL PERFURAÇÃO BLOCOS BM-C-39-40-41-42-43 B,OGX,"200000","0",Indefinido,,"47",O,"2016"
PARQUE ESTADUAL DA COSTA DO SOL,0000.33.2732,02001.003410/2015-12,TDL DO POLO TUPI,PETROBRAS,"50000","0",Indefinido,,"47",O,"2016"
PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA,0455.33.2868,02001.003136/2015-81,ATIVI PROD ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B. SANTOS-ETAPA 2 INSTALAÇÃO FPSO BW SÃO VICENTE TDL IARA,PETROBRAS,"40000","0",Indefinido,,"47",O,"2016"
PARQUE NACIONAL MARINHO DAS ILHAS DOS CURRAIS,0000.00.2874,02001.000317/2016-37,COMPENSAÇÃO AMBIENTAL PERFURAÇÃO BLOCOS BM-C-39-40-41-42-43 B,OGX,"1188323","0",Manejo,,"47",O,"2016"
RESERVA BIOLóGICA BIOPAMPA,0435.43.2922,02001.002630/2014-48,UTE PAMPA,PETROBRAS,"1000000","0",Indefinido,,"47",O,"2016"
