NOMEUC,CODUC,PROCESSO,EMPREENDIMENTO,EMPREENDEDOR,DESTINACAO,APLICACAO,ACAODEST,ACAOAPL,REUNIAO,TIPO,ANO
PARQUE NACIONAL DE CAPARAO,0000.00.0160,02001.004858/2011-20,LT Mesquita - Viana,MGE TRANSMISSÃO S.A.,"632986","0",Regularização,,"1",O,"2011"
RESERVA BIOLÓGICA AUGUSTO RUSCHI,0000.00.0191,02001.004858/2011-20,LT Mesquita - Viana,MGE TRANSMISSÃO S.A.,"190000","0",Indefinido,,"1",O,"2011"
PARQUE ESTADUAL DO RIO DOCE,0000.31.0394,02001.004858/2011-20,LT Mesquita - Viana,MGE TRANSMISSÃO S.A.,"150000","0",Indefinido,,"1",O,"2011"
RESERVA BIOLóGICA DE DUAS BOCAS,0000.32.1667,02001.004858/2011-20,LT Mesquita - Viana,MGE TRANSMISSÃO S.A.,"150000","0",Indefinido,,"1",O,"2011"
ÁREA DE PROTEçãO AMBIENTAL DE SANTANA DO PARAíSO,5895.31.2548,02001.004858/2011-20,LT Mesquita - Viana,MGE TRANSMISSÃO S.A.,"10000","0",Indefinido,,"1",O,"2011"
RESERVA EXTRATIVISTA VERDE PARA SEMPRE,0000.00.0260,02001.004860/2011-07,LT TUCURUI - XINGU - JURUPARI (LOTE A DO LINHAO DE TUCURUI),Linhas de Xingu Transmissora de Energia S.A,"4610263","0",Regularização,,"2",O,"2011"
RESERVA EXTRATIVISTA RIO CAJARI,0000.00.1518,02001.004855/2011-96,LT JURUPARI - ORIXIMINA E JURUPARI - LARANJAL DO JARI - MACAPA (LOTE B DO LINHAO TUCURUI).,LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA LTDA.,"4155688","0",Indefinido,,"2",O,"2011"
PARQUE NACIONAL DA SERRA DA CANASTRA,0000.00.0144,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"0","6370068",,Regularização,"2",E,"2013"
PARQUE NACIONAL DO JURUENA,0000.00.0281,02001.004860/2012-80,UHE TELES PIRES,COMPANHIA HIDRELÉTRICA TELES PIRES SA,"0","4279880",,Regularização,"2",E,"2013"
PARQUE NACIONAL DO RIO NOVO,0000.00.0264,02001.004860/2012-80,UHE TELES PIRES,COMPANHIA HIDRELÉTRICA TELES PIRES SA,"0","3600000",,Regularização,"2",E,"2013"
PARQUE NACIONAL DO ITATIAIA,0000.00.0184,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"0","3500000",,Regularização,"2",E,"2013"
PARQUE NACIONAL DO ITATIAIA,0000.00.0184,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"0","2000000",,Aquisição,"2",E,"2013"
PARQUE ESTADUAL IGARAPÉS DO JURUENA,0000.51.0455,02001.004860/2012-80,UHE TELES PIRES,COMPANHIA HIDRELÉTRICA TELES PIRES SA,"0","1500000",,Regularização,"2",E,"2013"
PARQUE NACIONAL RESTINGA DE JURUBATIBA,0000.00.0141,02070.000033/2008-17,"TESTE DE LONGA DURACAO(TLD)PARA O POCO 3-MLL-20D-RJS,ACUMULACAO DE JABUTI,CAMPO MARLIM LESTE",PETROBRAS,"0","591600",,Aquisição,"2",E,"2013"
RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO,0000.00.0216,02001.004860/2012-80,UHE TELES PIRES,COMPANHIA HIDRELÉTRICA TELES PIRES SA,"0","500000",,Regularização,"2",E,"2013"
PARQUE ESTADUAL DO RIO DOCE,0000.31.0394,02001.007904/2012-23,GASODUTO RJ - BH II (GASBEL II),NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"0","500000",,Aquisição,"2",E,"2013"
REFúGIO DE VIDA SILVESTRE MATA DE SANTA CRUZ,0000.26.2244,02001.002977/2007-61,"Teste de Longa Duração na área do poço ESS - 132,  bloco BES 100, bacia do Espírito Santo.",PETROBRAS TRANSPORTE S/A (TRANSPETRO),"0","470000",,Aquisição,"2",E,"2013"
PARQUE ESTADUAL XIXOVÁ-JAPUÍ,0000.35.0833,02001.004857/2011-85,DRAGAGEM DO PORTO DE SANTOS,COMPANHIA DOCAS DO ESTADO DE SÃO PAULO,"0","350000",,Regularização,"2",E,"2013"
PARQUE ESTADUAL DA SERRA DO MAR,0000.35.0798,02001.004857/2011-85,DRAGAGEM DO PORTO DE SANTOS,COMPANHIA DOCAS DO ESTADO DE SÃO PAULO,"0","234581",,Regularização,"2",E,"2013"
ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES,0000.51.0461,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"0","200000",,Manejo,"2",E,"2013"
PARQUE NACIONAL DA SERRA DA BOCAINA,0000.00.0142,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"0","150000",,Pesquisa,"2",E,"2013"
PARQUE NACIONAL DO ITATIAIA,0000.00.0184,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"0","150000",,Pesquisa,"2",E,"2013"
ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA,0000.41.0500,02001.004849/2012-10,LT JOINVILLE NORTE - CURITIBA C2.,INTERLIGAÇÃO ELÉTRICA SUL S.A.,"0","100000",,Manejo,"2",E,"2013"
APA MARINHA DO LITORAL CENTRO,0000.35.1723,02001.004857/2011-85,DRAGAGEM DO PORTO DE SANTOS,COMPANHIA DOCAS DO ESTADO DE SÃO PAULO,"0","100000",,Manejo,"2",E,"2013"
PARQUE NATURAL MUNICIPAL DOUTOR RUI CALAZANS DE ARAÚJO,3560.35.2836,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"0","100000",,Aquisição,"2",E,"2013"
PARQUE NACIONAL DE SÃO JOAQUIM,0000.00.0165,02001.000883/2013-04,UHE Foz do Chapecó,FOZ DO CHAPECÓ ENERGIA S.A.,"0","17120364",,Regularização,"4",E,"2015"
PARQUE NACIONAL DA SERRA GERAL,0000.00.0153,02001.000883/2013-04,UHE Foz do Chapecó,FOZ DO CHAPECÓ ENERGIA S.A.,"0","3340078",,Regularização,"4",E,"2015"
PARQUE NACIONAL DE APARADOS DA SERRA,0000.00.0158,02001.000883/2013-04,UHE Foz do Chapecó,FOZ DO CHAPECÓ ENERGIA S.A.,"0","3340078",,Regularização,"4",E,"2015"
PARQUE ESTADUAL DO TURVO,0000.43.1018,02001.000883/2013-04,UHE Foz do Chapecó,FOZ DO CHAPECÓ ENERGIA S.A.,"0","1500000",,Regularização,"4",E,"2015"
PARQUE NACIONAL DA SERRA GERAL,0000.00.0153,02001.000883/2013-04,UHE Foz do Chapecó,FOZ DO CHAPECÓ ENERGIA S.A.,"0","650000",,Aquisição,"4",E,"2015"
PARQUE NACIONAL DE APARADOS DA SERRA,0000.00.0158,02001.000883/2013-04,UHE Foz do Chapecó,FOZ DO CHAPECÓ ENERGIA S.A.,"0","650000",,Aquisição,"4",E,"2015"
PARQUE NACIONAL DE SÃO JOAQUIM,0000.00.0165,02001.000883/2013-04,UHE Foz do Chapecó,FOZ DO CHAPECÓ ENERGIA S.A.,"17120365","0",Regularização,,"4",E,"2015"
PARQUE ESTADUAL DO RIO TURVO,0000.35.1969,02001.000883/2013-04,UHE Foz do Chapecó,FOZ DO CHAPECÓ ENERGIA S.A.,"1500000","0",Regularização,,"4",E,"2015"
RESERVA BIOLÓGICA AUGUSTO RUSCHI,0000.00.0191,02001.004858/2011-20,LT Mesquita - Viana,MGE TRANSMISSÃO S.A.,"0","190000",,Regularização,"4",O,"2011"
PARQUE ESTADUAL DO RIO DOCE,0000.31.0394,02001.004858/2011-20,LT Mesquita - Viana,MGE TRANSMISSÃO S.A.,"0","150000",,Manejo,"4",O,"2011"
RESERVA BIOLóGICA DE DUAS BOCAS,0000.32.1667,02001.004858/2011-20,LT Mesquita - Viana,MGE TRANSMISSÃO S.A.,"0","150000",,Aquisição,"4",O,"2011"
ESTAÇÃO ECOLÓGICA DE URUÇUÍ-UNA,0000.00.0065,02001.007150/2011-21,LT COMPENSAÇÃO AMBIENTAL RIBEIRO GONÇALVES - BALSAS,ELETRONORTE,"266608","0",Indefinido,,"4",O,"2011"
PARQUE NACIONAL DE CAPARAO,0000.00.0160,02001.004858/2011-20,LT Mesquita - Viana,MGE TRANSMISSÃO S.A.,"480979","0",,Regularização,"4",O,"2011"
PARQUE NACIONAL DA CHAPADA DAS MESAS,0000.00.0272,02001.007150/2011-21,LT COMPENSAÇÃO AMBIENTAL RIBEIRO GONÇALVES - BALSAS,ELETRONORTE,"160000","0",Indefinido,,"4",O,"2011"
PARQUE ESTADUAL DE MIRADOR,0000.21.1963,02001.007150/2011-21,LT COMPENSAÇÃO AMBIENTAL RIBEIRO GONÇALVES - BALSAS,ELETRONORTE,"160000","0",Indefinido,,"4",O,"2011"
PARQUE NACIONAL DA CHAPADA DAS MESAS,0000.00.0272,02070.000204/2008-16,LINHA DE TRANSMISSAO 500 KV ITACAIUNAS / COLINAS,ATE III TRANSMISSORA DE ENERGIA S/A,"793653","0",Regularização,,"5",O,"2012"
PARQUE ESTADUAL DA SERRA DOS MARTÍRIOS/ANDORINHAS,0000.15.1021,02070.000204/2008-16,LINHA DE TRANSMISSAO 500 KV ITACAIUNAS / COLINAS,ATE III TRANSMISSORA DE ENERGIA S/A,"250000","0",Indefinido,,"5",O,"2012"
PARQUE ESTADUAL DO CANTãO,0000.17.1487,02070.000204/2008-16,LINHA DE TRANSMISSAO 500 KV ITACAIUNAS / COLINAS,ATE III TRANSMISSORA DE ENERGIA S/A,"250000","0",Indefinido,,"5",O,"2012"
PARQUE NATURAL MUNICIPAL DO PAMPA,0160.43.3138,02001.002630/2014-48,UTE PAMPA,PETROBRAS,"0","1000000",,Regularização,"6",E,"2016"
FLORESTA NACIONAL DE SARACÁ-TAQUERA,0000.00.0109,02001.001421/2005-96,IMPLANTAÇÃO PROJ EXPLORAÇÃO BAUXITA PLATÔ ALMEIDAS,MINERAÇÃO RIO DO NORTE S.A,"0","292930",,Manejo,"6",E,"2016"
PARQUE NATURAL MUNICIPAL SALÃO DE PEDRAS,1750.31.2730,02001.004257/2007-31,Mineroduto Minas - Rio,ANGLO AMERICAN MINÉRIO DE FERRO BRASIL S/A,"0","200000",,Aquisição,"6",E,"2016"
MONUMENTO NATURAL DOS MORROS DO PãO DE AçúCAR E URCA,0455.33.1811,02001.000317/2016-37,COMPENSAÇÃO AMBIENTAL PERFURAÇÃO BLOCOS BM-C-39-40-41-42-43 B,OGX PETRÓLEO E GÁS LTDA,"0","100000",,Aquisição,"6",E,"2016"
ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA,0000.00.0058,02001.003596/2016-91,Usina Termoelétrica UTE Porto do Itaqui,ITAQUI GERAÇÃO DE ENERGIA S.A.,"300000","0",Aquisição,,"6",E,"2016"
ESTACAO ECOLOGICA SERRA GERAL DO TOCANTINS,0000.00.0076,02001.001421/2005-96,IMPLANTAÇÃO PROJ EXPLORAÇÃO BAUXITA PLATÔ ALMEIDAS,MINERAÇÃO RIO DO NORTE S.A,"400000","0",Aquisição,,"6",E,"2016"
FLORESTA NACIONAL DE SARACÁ-TAQUERA,0000.00.0109,02001.001421/2005-96,IMPLANTAÇÃO PROJ EXPLORAÇÃO BAUXITA PLATÔ ALMEIDAS,MINERAÇÃO RIO DO NORTE S.A,"292930","0",Manejo,,"6",E,"2016"
PARQUE NACIONAL DA CHAPADA DOS VEADEIROS,0000.00.0139,02001.001421/2005-96,IMPLANTAÇÃO PROJ EXPLORAÇÃO BAUXITA PLATÔ ALMEIDAS,MINERAÇÃO RIO DO NORTE S.A,"500000","0",Manejo,,"6",E,"2016"
PARQUE NACIONAL DA SERRA DA CAPIVARA,0000.00.0145,02001.003596/2016-91,Usina Termoelétrica UTE Porto do Itaqui,ITAQUI GERAÇÃO DE ENERGIA S.A.,"200000","0",Aquisição,,"6",E,"2016"
PARQUE NACIONAL DAS SEMPRE VIVAS,0000.00.0157,02001.001421/2005-96,IMPLANTAÇÃO PROJ EXPLORAÇÃO BAUXITA PLATÔ ALMEIDAS,MINERAÇÃO RIO DO NORTE S.A,"3472007","0",Regularização,,"6",E,"2016"
PARQUE NACIONAL DE SAINT-HILAIRE/LANGE,0000.00.0164,02001.001061/2016-85,SPA DE ATLANTA,QUEIROZ GALVÃO EXPLORAÇÃO E PRODUÇÃO,"250000","0",Pesquisa,,"6",E,"2016"
PARQUE NACIONAL DO CABO ORANGE,0000.00.0169,02001.003596/2016-91,Usina Termoelétrica UTE Porto do Itaqui,ITAQUI GERAÇÃO DE ENERGIA S.A.,"300000","0",Manejo,,"6",E,"2016"
PARQUE NACIONAL DO SUPERAGUI,0000.00.0178,02001.001061/2016-85,SPA DE ATLANTA,QUEIROZ GALVÃO EXPLORAÇÃO E PRODUÇÃO,"250000","0",Pesquisa,,"6",E,"2016"
PARQUE NACIONAL DOS LENÇOIS MARANHENSES,0000.00.0180,02001.003596/2016-91,Usina Termoelétrica UTE Porto do Itaqui,ITAQUI GERAÇÃO DE ENERGIA S.A.,"2500000","0",Regularização,,"6",E,"2016"
PARQUE NACIONAL DOS LENÇOIS MARANHENSES,0000.00.0180,02001.003596/2016-91,Usina Termoelétrica UTE Porto do Itaqui,ITAQUI GERAÇÃO DE ENERGIA S.A.,"1374974","0",Manejo,,"6",E,"2016"
PARQUE NACIONAL GRANDE SERTÃO VEREDAS,0000.00.0183,02001.001421/2005-96,IMPLANTAÇÃO PROJ EXPLORAÇÃO BAUXITA PLATÔ ALMEIDAS,MINERAÇÃO RIO DO NORTE S.A,"400000","0",Manejo,,"6",E,"2016"
RESERVA BIOLÓGICA DO GURUPI,0000.00.0207,02001.003596/2016-91,Usina Termoelétrica UTE Porto do Itaqui,ITAQUI GERAÇÃO DE ENERGIA S.A.,"4000000","0",Manejo,,"6",E,"2016"
PARQUE NACIONAL DA CHAPADA DAS MESAS,0000.00.0272,02001.004706/2013-99,Ferrovia Norte-Sul,"VALEC - Engenharia, Construções e Ferrovias S.A.","1382423","0",Regularização,,"6",E,"2016"
PARQUE NACIONAL DA CHAPADA DAS MESAS,0000.00.0272,02001.004706/2013-99,Ferrovia Norte-Sul,"VALEC - Engenharia, Construções e Ferrovias S.A.","500000","0",Aquisição,,"6",E,"2016"
PARQUE NACIONAL DA CHAPADA DAS MESAS,0000.00.0272,02001.004706/2013-99,Ferrovia Norte-Sul,"VALEC - Engenharia, Construções e Ferrovias S.A.","500000","0",Manejo,,"6",E,"2016"
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA PEDREIRAS,0000.00.1322,02001.003596/2016-91,Usina Termoelétrica UTE Porto do Itaqui,ITAQUI GERAÇÃO DE ENERGIA S.A.,"50000","0",Manejo,,"6",E,"2016"
MONUMENTO NATURAL DOS MORROS DO PãO DE AçúCAR E URCA,0455.33.1811,02001.000317/2016-37,COMPENSAÇÃO AMBIENTAL PERFURAÇÃO BLOCOS BM-C-39-40-41-42-43 B,OGX PETRÓLEO E GÁS LTDA,"100000","0",Aquisição,,"6",E,"2016"
RESERVA BIOLÓGICA BOM JESUS,0000.00.2634,02001.001061/2016-85,SPA DE ATLANTA,QUEIROZ GALVÃO EXPLORAÇÃO E PRODUÇÃO,"350000","0",Pesquisa,,"6",E,"2016"
PARQUE NATURAL MUNICIPAL SALÃO DE PEDRAS,1750.31.2730,02001.004257/2007-31,Mineroduto Minas - Rio,ANGLO AMERICAN MINÉRIO DE FERRO BRASIL S/A,"200000","0",Aquisição,,"6",E,"2016"
PARQUE NACIONAL GUARICANA,0000.00.3137,02001.001061/2016-85,SPA DE ATLANTA,QUEIROZ GALVÃO EXPLORAÇÃO E PRODUÇÃO,"350000","0",Pesquisa,,"6",E,"2016"
REFÚGIO DE VIDA SILVESTRE DO ARQUIPÉLAGO DE ALCATRAZES,0000.00.3432,02001.001061/2016-85,SPA DE ATLANTA,QUEIROZ GALVÃO EXPLORAÇÃO E PRODUÇÃO,"469684","0",Manejo,,"6",E,"2016"
PARQUE NACIONAL DE ANAVILHANAS,0000.00.0049,02001.004856/2011-31,LT ORIXIMINA - SILVES - ENG. LECHUGA - MANAUS (LOTE C DO LINHAO TUCURUI).,MANAUS TRANSMISSORA DE ENERGIA S.A,"2725000","0",Indefinido,,"6",O,"2012"
ESTAÇÃO ECOLÓGICA DO JARI,0000.00.0067,02001.001114/2012-34,UHE Santo Antônio (Rio Jari),ECE PARTICIPAÇÕES S/A,"2000000","0",Regularização,,"6",O,"2012"
PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE,0000.00.0187,02001.001114/2012-34,UHE Santo Antônio (Rio Jari),ECE PARTICIPAÇÕES S/A,"1697919","0",Indefinido,,"6",O,"2012"
RESERVA BIOLÓGICA DO RIO TROMBETAS,0000.00.0210,02001.004856/2011-31,LT ORIXIMINA - SILVES - ENG. LECHUGA - MANAUS (LOTE C DO LINHAO TUCURUI).,MANAUS TRANSMISSORA DE ENERGIA S.A,"2758662","0",Indefinido,,"6",O,"2012"
ÁREA DE PROTEÇÃO AMBIENTAL NHAMUNDÁ,0000.13.0997,02001.004856/2011-31,LT ORIXIMINA - SILVES - ENG. LECHUGA - MANAUS (LOTE C DO LINHAO TUCURUI).,MANAUS TRANSMISSORA DE ENERGIA S.A,"300000","0",Indefinido,,"6",O,"2012"
PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE,0000.00.0187,02001.001114/2012-34,UHE Santo Antônio (Rio Jari),ECE PARTICIPAÇÕES S/A,"0","2100000",,Regularização,"7",O,"2012"
ESTAÇÃO ECOLÓGICA DO JARI,0000.00.0067,02001.001114/2012-34,UHE Santo Antônio (Rio Jari),ECE PARTICIPAÇÕES S/A,"0","1047919",,Aquisição,"7",O,"2012"
ESTAÇÃO ECOLÓGICA DO JARI,0000.00.0067,02001.001114/2012-34,UHE Santo Antônio (Rio Jari),ECE PARTICIPAÇÕES S/A,"0","550000",,Regularização,"7",O,"2012"
PARQUE NACIONAL DA CHAPADA DOS GUIMARÃES,0000.00.0138,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"1093000","0",Indefinido,,"7",O,"2012"
PARQUE NACIONAL DA SERRA GERAL,0000.00.0153,02001.001414/2012-13,LT 525 KV CAMPOS NOVOS - NOVA SANTA RITA,ELETROSUL CENTRAIS ELÉTRICAS S.A.,"305342","0",Indefinido,,"7",O,"2012"
PARQUE NACIONAL DAS EMAS,0000.00.0155,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"1093000","0",Indefinido,,"7",O,"2012"
PARQUE NACIONAL DE APARADOS DA SERRA,0000.00.0158,02001.001414/2012-13,LT 525 KV CAMPOS NOVOS - NOVA SANTA RITA,ELETROSUL CENTRAIS ELÉTRICAS S.A.,"305342","0",Indefinido,,"7",O,"2012"
PARQUE NACIONAL DE PACAÁS NOVOS,0000.00.0163,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"1062500","0",Indefinido,,"7",O,"2012"
PARQUE NACIONAL DA SERRA DA CUTIA,0000.00.0188,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"1062500","0",Indefinido,,"7",O,"2012"
RESERVA BIOLÓGICA DO JARU,0000.00.0208,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"1062500","0",Indefinido,,"7",O,"2012"
PARQUE NACIONAL DOS CAMPOS AMAZÔNICOS,0000.00.0284,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"1062500","0",Indefinido,,"7",O,"2012"
PARQUE ESTADUAL SERRA DAS ARARAS,0000.31.0386,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"1093000","0",Indefinido,,"7",O,"2012"
ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES,0000.51.0461,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"200000","0",Indefinido,,"7",O,"2012"
ESTAÇÃO ECOLÓGICA DE RIBEIRÃO PRETO,0000.35.0812,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"175000","0",Indefinido,,"7",O,"2012"
ESTAÇÃO ECOLÓGICA DE BAURU,0000.35.0909,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"175000","0",Indefinido,,"7",O,"2012"
PARQUE ESTADUAL DE CORUMBIARA,0000.11.1495,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"250000","0",Indefinido,,"7",O,"2012"
ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DO ARICÁ-AÇU,0340.51.2832,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"100000","0",Indefinido,,"7",O,"2012"
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO UATUMÃ,0000.13.0990,02001.004856/2011-31,LT ORIXIMINA - SILVES - ENG. LECHUGA - MANAUS (LOTE C DO LINHAO TUCURUI).,MANAUS TRANSMISSORA DE ENERGIA S.A,"450000","0",Pesquisa,,"9",O,"2012"
PARQUE NACIONAL DE ANAVILHANAS,0000.00.0049,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"2650852","0",Indefinido,,"10",O,"2012"
ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ,0000.00.0072,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"2650852","0",Indefinido,,"10",O,"2012"
FLORESTA NACIONAL DE BOM FUTURO,0000.00.0116,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"4000000","0",Indefinido,,"10",O,"2012"
PARQUE NACIONAL DA SERRA DO DIVISOR,0000.00.0149,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"2650852","0",Indefinido,,"10",O,"2012"
PARQUE NACIONAL DE PACAÁS NOVOS,0000.00.0163,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"2650852","0",Indefinido,,"10",O,"2012"
PARQUE NACIONAL DO JAÚ,0000.00.0173,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"2650852","0",Indefinido,,"10",O,"2012"
PARQUE NACIONAL DA SERRA DA CUTIA,0000.00.0188,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"2650852","0",Indefinido,,"10",O,"2012"
RESERVA BIOLÓGICA DO GUAPORÉ,0000.00.0206,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"2650852","0",Indefinido,,"10",O,"2012"
RESERVA BIOLÓGICA DO JARU,0000.00.0208,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"2650852","0",Indefinido,,"10",O,"2012"
PARQUE NACIONAL DOS CAMPOS AMAZÔNICOS,0000.00.0284,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"2650852","0",Indefinido,,"10",O,"2012"
FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO RIO VERMELHO (C),0000.11.0739,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"1000000","0",Indefinido,,"10",O,"2012"
PARQUE ESTADUAL DE GUAJARÁ-MIRIM,0000.11.0765,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"1333333","0",Indefinido,,"10",O,"2012"
ESTAÇÃO ECOLÓGICA SERRA DOS TRÊS IRMÃOS,0000.11.0768,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"4000000","0",Indefinido,,"10",O,"2012"
RESERVA BIOLÓGICA TRAÇADAL,0000.11.0770,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"1333333","0",Indefinido,,"10",O,"2012"
RESERVA EXTRATIVISTA JACI-PARANÁ,0000.11.0776,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"4000000","0",Indefinido,,"10",O,"2012"
PARQUE ESTADUAL DE CORUMBIARA,0000.11.1495,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"1333333","0",Indefinido,,"10",O,"2012"
PARQUE NACIONAL NASCENTES DO LAGO JARI,0000.00.1626,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"2650852","0",Indefinido,,"10",O,"2012"
PARQUE NACIONAL MAPINGUARI,0000.00.1633,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"8000000","0",Indefinido,,"10",O,"2012"
PARQUE NATURAL MUNICIPAL DE PORTO VELHO,0020.11.1818,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"1000000","0",Indefinido,,"10",O,"2012"
ÁREA DE PROTEÇÃO AMBIENTAL DO RIO MADEIRA,0000.11.2065,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"1000000","0",Indefinido,,"10",O,"2012"
PARQUE NACIONAL DA SERRA DO ITAJAÍ,0000.00.0150,02001.106402/2017-99,Porto Itapoá: Ampliação,ITAPOÁ TERMINAIS PORTUÁRIOS SA,"0","2667025",,Regularização,"11",E,"2018"
RESERVA BIOLÓGICA MARINHA DO ARVOREDO,0000.00.0214,02001.000324/2007-48,C. DE CORAL E ESTRELA DO MAR - BACIA DE SANTOS,PETROBRAS,"0","1683807",,,"11",E,"2018"
ESTAÇÃO ECOLÓGICA DE PAULO DE FARIA,0000.35.0807,02001.001440/2017-56 ,"FNS, Extensão Sul, Trecho Ouro Verde (GO) - Estrela D'oeste/Fernandópolis (SP) ","VALEC - Engenharia, Construções e Ferrovias S.A.","0","500000",,Aquisição,"11",E,"2018"
PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS,0000.35.0834,02001.000447/2016-70,TLD NE DE TUPI,PETROBRAS,"0","335302",,Aquisição,"11",E,"2018"
